id,apply_to_asset
account_tax_template_p_iva21_bc,always
account_tax_template_p_iva21_sc,never
account_tax_template_p_iva21_sp_in,never
account_tax_template_p_iva21_ic_bc,always
account_tax_template_p_iva21_ic_bi,always
account_tax_template_p_iva21_ibc,always
account_tax_template_p_iva21_ibi,always
account_tax_template_p_irpf21td,ignore
account_tax_template_p_iva4_sp_ex,never
account_tax_template_p_iva10_sp_ex,never
account_tax_template_p_iva21_sp_ex,never
account_tax_template_p_iva4_ic_bc,always
account_tax_template_p_iva4_ic_bi,always
account_tax_template_p_iva10_ic_bc,always
account_tax_template_p_iva10_ic_bi,always
account_tax_template_p_iva4_ibc,always
account_tax_template_p_iva4_ibi,always
account_tax_template_p_iva10_ibc,always
account_tax_template_p_iva10_ibi,always
account_tax_template_p_iva4_bi,always
account_tax_template_p_iva4_sc,never
account_tax_template_p_iva10_bi,always
account_tax_template_p_iva21_bi,always
account_tax_template_p_iva10_bc,always
account_tax_template_p_iva4_bc,always
account_tax_template_p_iva10_sc,never
account_tax_template_p_iva0_nd,never
account_tax_template_p_iva0_bc,always
account_tax_template_p_iva0_ns,never
account_tax_template_p_irpf19,ignore
account_tax_template_p_irpf20a,ignore
account_tax_template_p_irpf18,ignore
account_tax_template_p_irpf19a,ignore
account_tax_template_p_irpf195a,ignore
account_tax_template_p_irpf7,ignore
account_tax_template_p_irpf9,ignore
account_tax_template_p_iva12_agr,ignore
account_tax_template_p_req014,ignore
account_tax_template_p_req05,ignore
account_tax_template_p_req52,ignore
account_tax_template_p_irpf1,ignore
account_tax_template_p_irpf15,ignore
account_tax_template_p_irpf21t,ignore
account_tax_template_p_iva10_sp_in,never
account_tax_template_p_iva4_sp_in,never
account_tax_template_p_irpf21te,ignore
account_tax_template_p_irpf20,ignore
account_tax_template_p_irpf21a,ignore
account_tax_template_p_irpf21p,ignore
account_tax_template_p_irpf2,ignore
account_tax_template_p_iva4_isp,always
account_tax_template_p_iva10_isp,always
account_tax_template_p_iva21_isp,always
account_tax_template_p_rp19,ignore
account_tax_template_p_rrD19,ignore
account_tax_template_p_iva105_gan,ignore
account_tax_template_p_iva10_nd,never
account_tax_template_p_iva4_nd,never
account_tax_template_p_iva0_ns_b,always
account_tax_template_p_irpf24,ignore
account_tax_template_p_iva5_sc,never
account_tax_template_p_iva4_isp_bi,always
account_tax_template_p_iva10_isp_bi,always
account_tax_template_p_iva21_isp_bi,always
