id,apply_to_asset
account_tax_template_p_priva4_bc,always
account_tax_template_p_priva10_bc,always
account_tax_template_p_priva21_bc,always
account_tax_template_p_priva4_bi,always
account_tax_template_p_priva10_bi,always
account_tax_template_p_priva21_bi,always
account_tax_template_p_priva4_sc,never
account_tax_template_p_priva5_sc,never
account_tax_template_p_priva10_sc,never
account_tax_template_p_priva21_sc,never
account_tax_template_p_priva4_ic_bc,always
account_tax_template_p_priva10_ic_bc,always
account_tax_template_p_priva21_ic_bc,always
account_tax_template_p_priva4_ic_bi,always
account_tax_template_p_priva10_ic_bi,always
account_tax_template_p_priva21_ic_bi,always
account_tax_template_p_priva4_sp_in,never
account_tax_template_p_priva10_sp_in,never
account_tax_template_p_priva21_sp_in,never
account_tax_template_p_priva4_ibc,always
account_tax_template_p_priva10_ibc,always
account_tax_template_p_priva21_ibc,always
account_tax_template_p_priva4_ibi,always
account_tax_template_p_priva10_ibi,always
account_tax_template_p_priva21_ibi,always
