id,name
p_priva4_bc,account_tax_template_p_priva4_bc
p_priva10_bc,account_tax_template_p_priva10_bc
p_priva21_bc,account_tax_template_p_priva21_bc
p_priva4_bi,account_tax_template_p_priva4_bi
p_priva10_bi,account_tax_template_p_priva10_bi
p_priva21_bi,account_tax_template_p_priva21_bi
p_priva4_sc,account_tax_template_p_priva4_sc
p_priva5_sc,account_tax_template_p_priva5_sc
p_priva10_sc,account_tax_template_p_priva10_sc
p_priva21_sc,account_tax_template_p_priva21_sc
p_priva4_ic_bc,account_tax_template_p_priva4_ic_bc
p_priva10_ic_bc,account_tax_template_p_priva10_ic_bc
p_priva21_ic_bc,account_tax_template_p_priva21_ic_bc
p_priva4_ic_bi,account_tax_template_p_priva4_ic_bi
p_priva10_ic_bi,account_tax_template_p_priva10_ic_bi
p_priva21_ic_bi,account_tax_template_p_priva21_ic_bi
p_priva4_sp_in,account_tax_template_p_priva4_sp_in
p_priva10_sp_in,account_tax_template_p_priva10_sp_in
p_priva21_sp_in,account_tax_template_p_priva21_sp_in
p_priva4_ibc,account_tax_template_p_priva4_ibc
p_priva10_ibc,account_tax_template_p_priva10_ibc
p_priva21_ibc,account_tax_template_p_priva21_ibc
p_priva4_ibi,account_tax_template_p_priva4_ibi
p_priva10_ibi,account_tax_template_p_priva10_ibi
p_priva21_ibi,account_tax_template_p_priva21_ibi
