"position_id","tax_src_id","tax_dest_id"
"fp_intra","account_tax_template_p_iva4_nd","account_tax_template_p_iva4nd_sp_in"
"fp_intra","account_tax_template_p_iva10_nd","account_tax_template_p_iva10nd_sp_in"
"fp_intra","account_tax_template_p_iva0_nd","account_tax_template_p_iva21nd_sp_in"
"fp_intra","account_tax_template_p_iva4_nd","account_tax_template_p_iva4nd_ic_bc"
"fp_intra","account_tax_template_p_iva10_nd","account_tax_template_p_iva10nd_ic_bc"
"fp_intra","account_tax_template_p_iva0_nd","account_tax_template_p_iva21nd_ic_bc"
"fp_intra","account_tax_template_p_iva4_nd","account_tax_template_p_iva4nd_ic_bi"
"fp_intra","account_tax_template_p_iva10_nd","account_tax_template_p_iva10nd_ic_bi"
"fp_intra","account_tax_template_p_iva0_nd","account_tax_template_p_iva21nd_ic_bi"

"fp_irpf15","account_tax_template_p_iva4_nd","account_tax_template_p_iva4_nd"
"fp_irpf15","account_tax_template_p_iva10_nd","account_tax_template_p_iva10_nd"
"fp_irpf15","account_tax_template_p_iva0_nd","account_tax_template_p_iva0_nd"
"fp_irpf15","account_tax_template_p_iva4_nd","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_iva10_nd","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_iva0_nd","account_tax_template_p_irpf15"

"fp_not_subject_tai","account_tax_template_p_iva4_nd","account_tax_template_p_iva0_ns"
"fp_not_subject_tai","account_tax_template_p_iva4_nd_bc","account_tax_template_p_iva0_ns_b"
"fp_not_subject_tai","account_tax_template_p_iva4_nd_bi","account_tax_template_p_iva0_ns_b"
"fp_not_subject_tai","account_tax_template_p_iva10_nd","account_tax_template_p_iva0_ns"
"fp_not_subject_tai","account_tax_template_p_iva10_nd_bc","account_tax_template_p_iva0_ns_b"
"fp_not_subject_tai","account_tax_template_p_iva10_nd_bi","account_tax_template_p_iva0_ns_b"
"fp_not_subject_tai","account_tax_template_p_iva0_nd","account_tax_template_p_iva0_ns"
"fp_not_subject_tai","account_tax_template_p_iva0_nd_bc","account_tax_template_p_iva0_ns_b"
"fp_not_subject_tai","account_tax_template_p_iva0_nd_bi","account_tax_template_p_iva0_ns_b"
