"id","invoice_label","invoice_label@es","invoice_label@ca"
"account_tax_template_oss_s_iva_ns","Not subject to and covered by OSS (Services)","No sujeto y acogidas a la OSS (Servicios)","No subjecte i acollides a la OSS (serveis)"
"account_tax_template_oss_s_iva_ns_b","Not subject to and covered by OSS (Goods)","No sujeto y acogidas a la OSS (Bienes)","No subjecte i acollides a la OSS (béns)"
"account_tax_template_p_dua_exempt","Exempt DUA","DUA exento","DUA exempt"
"account_tax_template_p_irpf1","1% Withholding income tax","Retenciones IRPF 1%","Retencions IRPF 1%"
"account_tax_template_p_irpf15","15% Withholding income tax","Retenciones IRPF 15%","Retencions IRPF 15%"
"account_tax_template_p_irpf15e","15% Withholding income tax in cash","Retenciones IRPF 15% en especie","Retencions IRPF 15% en especie"
"account_tax_template_p_irpf18","18% Withholding income tax","Retenciones IRPF 18%","Retencions IRPF 18%"
"account_tax_template_p_irpf19","19% Withholding income tax","Retenciones IRPF 19%","Retencions IRPF 19%"
"account_tax_template_p_irpf195a","19.5% Withholding","Retenciones 19,5%","Retencions 19,5%"
"account_tax_template_p_irpf19a","19% Withholding","Retenciones 19%","Retencions 19%"
"account_tax_template_p_irpf19ca","19% Withholding Directors and Administrators","Retenciones IRPF 19% Consejeros y administradores","Retencions IRPF 19% consellers i administradors"
"account_tax_template_p_irpf19cs","19% Withholding Directors and Administrators","Retenciones IRPF 19% Consejeros y administradores","Retencions IRPF 19% consellers i administradors"
"account_tax_template_p_irpf2","2% Withholding income tax","Retenciones IRPF 2%","Retencions IRPF 2%"
"account_tax_template_p_irpf20","20% Withholding income tax","Retenciones IRPF 20%","Retencions IRPF 20%"
"account_tax_template_p_irpf20a","20% Withholding","Retenciones 20%","Retencions 20%"
"account_tax_template_p_irpf21a","21% Withholding","Retenciones 21%","Retencions 21%"
"account_tax_template_p_irpf21p","21% Withholding income tax","Retenciones IRPF 21%","Retencions IRPF 21%"
"account_tax_template_p_irpf21t","15% Withholding income tax","Retenciones IRPF","Retencions IRPF"
"account_tax_template_p_irpf21td","15% Withholding income tax","Retenciones IRPF dinerarios","Retencions IRPF dineraris"
"account_tax_template_p_irpf21tdit","15% Withholding income tax temporary incapacity","Retenciones IRPF dinerarios incapacidad temporal","Retencions IRPF dineraris incapacitat temporal"
"account_tax_template_p_irpf21te","15% Withholding income tax in cash","Retenciones IRPF en especie","Retencions IRPF en especie"
"account_tax_template_p_irpf24","24% Withholding income tax","Retenciones IRPF 24%","Retencions IRPF 24%"
"account_tax_template_p_irpf24_rdc","24% Withholding on capital","Retenciones IRPF 24%","Retencions IRPF 24%"
"account_tax_template_p_irpf35cya","35% Withholding Directors and Administrators","Retenciones IRPF 35% Consejeros y administradores","Retencions IRPF 35% consellers i administradors"
"account_tax_template_p_irpf7","7% Withholding income tax","Retenciones IRPF 7%","Retencions IRPF 7%"
"account_tax_template_p_irpf7e","7% Withholding income tax in cash","Retenciones IRPF 7% en especie","Retencions IRPF 7% en especie"
"account_tax_template_p_irpf9","9% Withholding income tax","Retenciones IRPF 9%","Retencions IRPF 9%"
"account_tax_template_p_irpfnrnue0p","Exempt Withholding Non-EU residents","Retenciones IRPF No residentes no-UE exento por convenio","Retencions IRPF No residents no-UE exempt per conveni"
"account_tax_template_p_irpfnrnue24p","24% Withholding Non-EU residents","Retenciones IRPF No residentes no-UE 24%","Retencions IRPF No residents no-UE 24%"
"account_tax_template_p_irpfnrue0p","Exempt Withholding EU residents","Retenciones IRPF No residentes UE exento por convenio","Retencions a compte IRPF No residents UE exempt per conveni"
"account_tax_template_p_irpfnrue19p","19% Withholding Non-EU residents","Retenciones IRPF No residentes UE 19%","Retencions IRPF No residents UE 19%"
"account_tax_template_p_iva0_bc","VAT exempt","IVA exento","IVA Exempt"
"account_tax_template_p_iva0_ibc","VAT 0% import","IVA 0% Importaciones bienes corrientes","IVA 0% Importacions béns corrents"
"account_tax_template_p_iva0_ic_bc","VAT 0% intra-community","IVA 0% Adquisición Intracomunitario. Bienes corrientes","IVA 0% Adquisició intracomunitari. Béns corrents"
"account_tax_template_p_iva0_ic_sc","VAT 0% intra-community","IVA 0% Adquisición Intracomunitario. Servicios corrientes","IVA 0% Adquisició intracomunitari. Serveis corrents"
"account_tax_template_p_iva0_isc","VAT 0% import","IVA 0% Adquisición de servicios extracomunitarios","IVA 0% Adquisició de serveis extracomunitaris"
"account_tax_template_p_iva0_ns","VAT not subjected","IVA no sujeto","IVA no sotmès"
"account_tax_template_p_iva0_ns_b","VAT not subjected","IVA no sujeto","IVA no sotmès"
"account_tax_template_p_iva0_s_bc","VAT 0%","0% IVA","0% IVA"
"account_tax_template_p_iva0_s_sc","VAT 0%","0% IVA","0% IVA"
"account_tax_template_p_iva105_gan","VAT 10.5%","10,5% IVA régimen ganadero o pesca","10,5% IVA règim ramader o pesca"
"account_tax_template_p_iva10_bc","VAT 10%","10% IVA","10% IVA"
"account_tax_template_p_iva10_bi","VAT 10%","10% IVA","10% IVA"
"account_tax_template_p_iva10_ibc","VAT 10% import","IVA 10% Importaciones bienes corrientes","IVA 10% Importacions béns corrents"
"account_tax_template_p_iva10_ibc_group","VAT 10% import DUA","IVA 10% Importaciones DUA bienes corrientes","IVA 10% Importacions DUA béns corrents"
"account_tax_template_p_iva10_ibi","VAT 10% import","IVA 10% Importaciones bienes de inversión","IVA 10% Importacions béns d'inversió"
