"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","prorate"
"account_tax_template_p_priva4_bc","0","True","Prorated 4% VAT supported (current goods)","","purchase",Prorated 4% G,Prorrata 4% B,"Prorrata 4% IVA soportado (bienes corrientes)","Prorrata del 4% de l'IVA suportat (béns corrents)","4","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
"account_tax_template_p_priva10_bc","0","True","Prorated 10% VAT supported (current goods)","","purchase",Prorated 10% G,Prorrata 10% B,"Prorrata 10% IVA soportado (bienes corrientes)","Prorrata del 10% de l'IVA suportat (béns corrents)","10","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
"account_tax_template_p_priva21_bc","0","True","Prorated 21% VAT supported (current goods)","","purchase",Prorated 21% G,Prorrata 21% B,"Prorrata 21% IVA soportado (bienes corrientes)","Prorrata del 21% de l'IVA suportat (béns corrents)","21","percent",tax_group_iva_21,"","sujeto","","","consu","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
